id,src_user_id,dst_user_id,timestamp
1293938276600963073,1039613432088031232,1039613432088031232,2020-08-13
1291552357801754625,917869996424007680,917869996424007680,2020-08-07
1297539295264346117,32330373,32330373,2020-08-23
1294400634385465345,1878951342,76669840,2020-08-14
1291609068658778112,1154204959493115904,2390858749,2020-08-07
1290812532974931969,1065402393288994816,864800376184340481,2020-08-05
1293935929468411909,258500626,229004289,2020-08-13
1289720815060004865,17243913,193171539,2020-08-02
1299496959951208448,308851637,308851637,2020-08-28
1293187492019965954,1213290229693419520,858053158613929984,2020-08-11
1293234330886500352,494465036,494465036,2020-08-11
1293555063890337792,138739908,138739908,2020-08-12
1296871878284337152,539721796,73525922,2020-08-21
1290526469936959489,1058573606936969217,5522832,2020-08-04
1292885696550539265,1244085858849832962,462560541,2020-08-10
1295699964836929541,4874711278,4874711278,2020-08-18
1299226311219650561,366517094,366517094,2020-08-28
1296535999942545408,916146228,916146228,2020-08-20
1291924964975747073,1230233232546902017,1216534657187172352,2020-08-08
1291625438947631106,624619918,624619918,2020-08-07
1297324499554185216,1213227267427405825,1141067424,2020-08-23
1290750260382441475,781274243489271808,781274243489271808,2020-08-04
1291162280097460224,957629731,957629731,2020-08-06
1297284686788431874,32994432,897105517117677568,2020-08-22
1289399518295814146,72835250,892118916,2020-08-01
1291430686956695553,1046586316807446528,1046586316807446528,2020-08-06
1293720503883042817,1023349113776168965,1023349113776168965,2020-08-13
1290048461132292096,808289413818105856,808289413818105856,2020-08-02
1290007571701436417,65892374,65892374,2020-08-02
1289818232979939329,38717590,38717590,2020-08-02
1289735773336432640,1117229660247482368,3296381492,2020-08-02
1290257147264081920,2831154010,2831154010,2020-08-03
1289645983349923840,886163559125835776,886163559125835776,2020-08-01
1290048221507497984,138982793,138982793,2020-08-02
1298898571161288705,1068536424561963011,1078073532129705984,2020-08-27
1289360839321874432,1027630700810457089,724287708,2020-08-01
1289992045759610880,19426419,1114232180887162880,2020-08-02
1290671993591922690,944340449258504193,1267556374847926272,2020-08-04
1289409156399554560,3037361504,1250484257828540420,2020-08-01
1290772917085593600,334217088,981410214267228162,2020-08-04
1290803412569853952,3434121513,3434121513,2020-08-05
1289405741288185857,49171346,727840825661661184,2020-08-01
1291429150876741633,784477368144592896,1025285309586534400,2020-08-06
1294625694186639361,1946773118,1946773118,2020-08-15
1289512391449776128,1117229660247482368,28553635,2020-08-01
1289683258381225985,2614255879,3044602665,2020-08-01
1294608994921742336,2715930851,2715930851,2020-08-15
1291883042911526913,562253854,562253854,2020-08-07
1289402667790303232,1261710079172149250,82947669,2020-08-01
1289408855349137408,1243532684208422913,4903751917,2020-08-01
1289651178708406272,1030554498408882176,569855788,2020-08-01
1289393609683460098,721444576989442048,3409991233,2020-08-01
1291038810785099777,247038875,247038875,2020-08-05
1289388667627122688,946523345964748800,1106206327972528138,2020-08-01
1289370707600670720,912669751121465344,912669751121465344,2020-08-01
1289359584155652096,1000758710,1147070939731038209,2020-08-01
1289386035873366022,746196319539077121,4842643753,2020-08-01
1289675984078114816,496404509,4671374114,2020-08-01
1289428374407053312,1164732821027663874,84422214,2020-08-01
1290603875247050753,1093522999385485312,1093522999385485312,2020-08-04
1289393696157265920,721444576989442048,3409991233,2020-08-01
1289536346797703169,814326334751211524,2840398637,2020-08-01
1289384936613376001,225305561,961379839830786048,2020-08-01
1289543819290120194,32106384,32106384,2020-08-01
1289760648679882753,896552066600009728,1214736128126988290,2020-08-02
1289448959266582528,1312395158,1286116923416215552,2020-08-01
1289382839314796544,872964678590377984,1148621960,2020-08-01
1289360731435962368,1271524821856391175,1254501330703409152,2020-08-01
1289383592825458688,872964678590377984,252763215,2020-08-01
1289625812170207232,872964678590377984,1148621960,2020-08-01
1289381119238995968,1123926549038882816,47824766,2020-08-01
1289602006231871489,2747054728,1210983681533198336,2020-08-01
1289360947878887424,804911498485202944,1154196624501067776,2020-08-01
1289359520947347456,744229274106925057,3286869752,2020-08-01
1289360563135545344,289806147,22728270,2020-08-01
1289364516875071488,310642014,889011736824754177,2020-08-01
1289699372796534784,1243795698723819523,1243795698723819523,2020-08-01
1291035925309341697,816491683651031040,816491683651031040,2020-08-05
1289441809588875264,2493602402,41112708,2020-08-01
1289351290775011328,2954522767,1282682118821359619,2020-08-01
1289364906240643072,1224912776243634177,91162962,2020-08-01
1289355312265232384,1267621782867116040,1151286185177673728,2020-08-01
1289366596713156609,1282682118821359619,2954522767,2020-08-01
1289353502561406977,1271572997623562240,22596600,2020-08-01
1289355791967956993,41673334,291468614,2020-08-01
1289356176128225281,553828418,473709610,2020-08-01
1289386411079028736,1224031901134073856,834232929865707520,2020-08-01
1289368876375920640,85723812,4849898158,2020-08-01
1289358558773956608,80706659,1070146916254662656,2020-08-01
1289360106488922112,553828418,1281605795210235905,2020-08-01
1289362721545302018,1222157494656688129,507647798,2020-08-01
1289376035876638720,1155144825265631232,914146507946889221,2020-08-01
1289361994701656065,1153916836028637185,1185017001816854528,2020-08-01
1289361466093494274,473709610,553828418,2020-08-01
1289361627477880832,127520212,127520212,2020-08-01
1289381113274613761,1254501330703409152,1271524821856391175,2020-08-01
1289399876611014656,1225239080230957057,46175409,2020-08-01
1289361689758973952,553828418,473709610,2020-08-01
1289528353968418816,27385174,394642242,2020-08-01
1289363246617464832,483081908,1212560022623776769,2020-08-01
1289362396277071873,473709610,553828418,2020-08-01
1289364992471363584,1250161155395502088,889442858,2020-08-01
1289366438961008640,1050532444015878145,1012422697442332672,2020-08-01
1289365297733013504,775723020811763712,54278855,2020-08-01
1289473032487018497,1251811611318161409,1276417198936846338,2020-08-01
1289366056494960640,1221453233480183808,1225388160596705285,2020-08-01
1289365001589817344,889011736824754177,310642014,2020-08-01
1289374747222999042,64097093,1288673404174962689,2020-08-01
1289366652241444865,1271108708,1392676152,2020-08-01
1289365834700210176,2627131664,1078531367007326209,2020-08-01
1289377655557627904,64097093,1288673404174962689,2020-08-01
1289370477924737024,1271087190907539456,4837060487,2020-08-01
1289504810064998401,21522338,88864734,2020-08-01
1289418322262466561,23797573,1179723288680886274,2020-08-01
1289369178940547073,1239599332770398214,1114952766,2020-08-01
1289371952608505857,174369590,1213838406565785600,2020-08-01
1289372353516851201,174369590,1213838406565785600,2020-08-01
1289368305778569216,823323762720382976,823323762720382976,2020-08-01
1289368620024254466,574653930,574653930,2020-08-01
1289376276910764033,21522338,45027685,2020-08-01
1289373348577779713,1229797174650851328,17477864,2020-08-01
1289369175182331911,1242599661275353088,1072909289805766659,2020-08-01
